iter	Passed	Remaining
0	65	32483
1	74	18444
2	80	13318
3	88	10932
4	95	9500
5	103	8502
6	110	7757
7	117	7203
8	125	6821
9	132	6489
10	140	6227
11	150	6125
12	158	5930
13	165	5740
14	172	5583
15	180	5449
16	188	5354
17	196	5267
18	203	5150
19	210	5048
20	217	4958
21	223	4866
22	230	4781
23	238	4739
24	246	4675
25	253	4627
26	261	4576
27	270	4565
28	278	4520
29	288	4515
30	297	4499
31	306	4478
32	313	4432
33	322	4422
34	331	4398
35	338	4364
36	347	4347
37	354	4306
38	362	4280
39	370	4256
40	377	4227
41	384	4195
42	393	4179
43	400	4155
44	409	4142
45	416	4113
46	424	4093
47	431	4064
48	440	4051
49	447	4030
50	456	4015
51	463	3994
52	472	3981
53	479	3961
54	488	3956
55	496	3938
56	506	3933
57	513	3915
58	522	3905
59	530	3890
60	540	3891
61	552	3902
62	564	3916
63	572	3897
64	579	3877
65	587	3863
66	597	3859
67	610	3878
68	620	3877
69	628	3862
70	635	3842
71	643	3822
72	651	3811
73	659	3794
74	668	3786
75	676	3772
76	684	3759
77	692	3745
78	699	3727
79	706	3709
80	714	3697
81	723	3686
82	730	3670
83	739	3661
84	747	3648
85	755	3636
86	762	3621
87	769	3604
88	777	3590
89	785	3578
90	793	3565
91	802	3559
92	810	3545
93	817	3531
94	825	3518
95	833	3509
96	840	3493
97	848	3480
98	856	3468
99	863	3454
100	871	3440
101	878	3429
102	886	3415
103	895	3409
104	903	3398
105	910	3386
106	919	3375
107	926	3362
108	934	3351
109	942	3340
110	949	3328
111	956	3314
112	963	3301
113	971	3289
114	977	3273
115	984	3258
116	991	3244
117	1000	3237
118	1007	3224
119	1014	3212
120	1022	3201
121	1029	3189
122	1036	3177
123	1043	3165
124	1051	3154
125	1058	3141
126	1066	3133
127	1075	3125
128	1092	3142
129	1104	3143
130	1113	3137
131	1123	3131
132	1131	3121
133	1140	3115
134	1157	3129
135	1181	3161
136	1190	3154
137	1202	3153
138	1217	3161
139	1228	3157
140	1243	3166
141	1264	3188
142	1289	3218
143	1299	3213
144	1307	3200
145	1314	3186
146	1321	3173
147	1329	3162
148	1337	3150
149	1345	3139
150	1353	3127
151	1360	3115
152	1368	3104
153	1376	3092
154	1383	3079
155	1390	3067
156	1399	3057
157	1408	3048
158	1416	3036
159	1423	3025
160	1431	3013
161	1438	3000
162	1448	2994
163	1455	2982
164	1463	2971
165	1471	2959
166	1478	2947
167	1486	2937
168	1493	2924
169	1500	2911
170	1508	2901
171	1516	2891
172	1523	2880
173	1530	2868
174	1538	2857
175	1547	2849
176	1555	2838
177	1563	2828
178	1571	2818
179	1579	2808
180	1586	2796
181	1594	2785
182	1601	2774
183	1610	2766
184	1617	2753
185	1626	2745
186	1634	2735
187	1642	2725
188	1649	2714
189	1656	2703
190	1664	2693
191	1671	2682
192	1679	2670
193	1686	2660
194	1693	2648
195	1701	2638
196	1708	2627
197	1716	2617
198	1723	2607
199	1730	2596
200	1737	2585
201	1746	2577
202	1755	2568
203	1763	2558
204	1770	2548
205	1777	2537
206	1785	2526
207	1793	2518
208	1801	2508
209	1812	2502
210	1821	2494
211	1829	2485
212	1838	2476
213	1846	2468
214	1855	2459
215	1866	2454
216	1875	2445
217	1882	2435
218	1890	2426
219	1898	2415
220	1905	2406
221	1914	2397
222	1921	2386
223	1928	2376
224	1938	2369
225	1946	2360
226	1955	2351
227	1962	2341
228	1969	2330
229	1977	2321
230	1985	2311
231	1994	2304
232	2001	2294
233	2009	2284
234	2017	2275
235	2025	2266
236	2033	2256
237	2040	2245
238	2047	2236
239	2055	2226
240	2063	2217
241	2071	2208
242	2080	2199
243	2088	2190
244	2095	2180
245	2102	2170
246	2111	2162
247	2119	2153
248	2128	2146
249	2135	2135
250	2142	2125
251	2149	2115
252	2156	2105
253	2164	2096
254	2172	2087
255	2180	2078
256	2187	2068
257	2195	2059
258	2203	2050
259	2210	2040
260	2217	2030
261	2226	2022
262	2233	2012
263	2241	2003
264	2249	1994
265	2256	1985
266	2264	1976
267	2272	1967
268	2279	1957
269	2286	1948
270	2295	1939
271	2303	1930
272	2310	1921
273	2318	1912
274	2325	1902
275	2332	1893
276	2340	1884
277	2347	1874
278	2354	1865
279	2362	1856
280	2370	1847
281	2377	1837
282	2385	1829
283	2393	1820
284	2402	1812
285	2410	1803
286	2417	1793
287	2425	1785
288	2433	1776
289	2440	1767
290	2448	1758
291	2456	1749
292	2464	1741
293	2473	1732
294	2480	1723
295	2487	1714
296	2495	1705
297	2504	1697
298	2512	1688
299	2520	1680
300	2527	1671
301	2536	1663
302	2544	1654
303	2552	1645
304	2560	1636
305	2567	1627
306	2576	1619
307	2583	1610
308	2591	1601
309	2598	1592
310	2605	1583
311	2613	1574
312	2621	1566
313	2630	1557
314	2638	1549
315	2646	1541
316	2653	1531
317	2660	1522
318	2666	1513
319	2674	1504
320	2682	1495
321	2689	1486
322	2696	1477
323	2704	1469
324	2712	1460
325	2720	1452
326	2727	1442
327	2736	1435
328	2745	1427
329	2754	1419
330	2762	1410
331	2770	1401
332	2779	1393
333	2786	1384
334	2794	1376
335	2803	1368
336	2810	1359
337	2818	1351
338	2825	1342
339	2834	1333
340	2842	1325
341	2849	1316
342	2857	1308
343	2864	1299
344	2871	1290
345	2878	1281
346	2886	1272
347	2894	1264
348	2902	1255
349	2910	1247
350	2917	1238
351	2927	1230
352	2933	1221
353	2941	1213
354	2949	1204
355	2956	1195
356	2964	1187
357	2971	1178
358	2979	1170
359	2985	1161
360	2992	1152
361	3000	1143
362	3008	1135
363	3016	1127
364	3024	1118
365	3031	1110
366	3040	1101
367	3048	1093
368	3055	1084
369	3063	1076
370	3072	1068
371	3079	1059
372	3086	1050
373	3093	1042
374	3101	1033
375	3108	1025
376	3116	1016
377	3125	1008
378	3132	1000
379	3140	991
380	3148	983
381	3156	974
382	3163	966
383	3171	958
384	3179	949
385	3186	941
386	3194	932
387	3202	924
388	3211	916
389	3218	907
390	3226	899
391	3234	891
392	3243	882
393	3250	874
394	3257	866
395	3265	857
396	3272	849
397	3281	840
398	3290	832
399	3298	824
400	3306	816
401	3314	807
402	3322	799
403	3330	791
404	3338	783
405	3346	774
406	3353	766
407	3361	757
408	3368	749
409	3376	741
410	3383	732
