name,amenity_type,LatLng,lat,lon
100 AM,shopping,"1.27458821795426,103.84347073661",1.27458821795426,103.84347073661
313@Somerset,shopping,"1.30101436404056,103.838360664485",1.30101436404056,103.838360664485
Aperia,shopping,"1.3104736675734,103.86431321816",1.3104736675734,103.86431321816
Balestier Hill Shopping Centre,shopping,"1.32559594839311,103.842571612968",1.32559594839311,103.842571612968
Bugis Cube,shopping,"1.2981408343975,103.855635339249",1.2981408343975,103.855635339249
Bugis Junction,shopping,"1.29911287475873,103.855411173758",1.29911287475873,103.855411173758
Bugis+,shopping,"1.30095171530648,103.855172625542",1.30095171530648,103.855172625542
Capitol Piazza,shopping,"1.29307884763132,103.851261982149",1.29307884763132,103.851261982149
Cathay Cineleisure Orchard,shopping,"1.30146393496315,103.836463810773",1.30146393496315,103.836463810773
The Centrepoint,shopping,"1.30145045537088,103.840034074858",1.30145045537088,103.840034074858
City Square Mall,shopping,"1.3113827185663,103.856626855768",1.3113827185663,103.856626855768
CityLink Mall,shopping,"1.29260349413333,103.854316064564",1.29260349413333,103.854316064564
Duo,shopping,"1.29953434891664,103.85840168774",1.29953434891664,103.85840168774
Far East Plaza,shopping,"1.30730468891062,103.833818438639",1.30730468891062,103.833818438639
Funan,shopping,"1.29134759697794,103.849989790085",1.29134759697794,103.849989790085
Great World City,shopping,"1.29342272650003,103.832022146655",1.29342272650003,103.832022146655
HDB Hub,shopping,"1.33201387005935,103.84984949662",1.33201387005935,103.84984949662
ION Orchard,shopping,"1.30399286856099,103.831988903795",1.30399286856099,103.831988903795
Junction 8,shopping,"1.35017243180201,103.848553703258",1.35017243180201,103.848553703258
Knightsbridge,shopping,"1.3029831225958,103.836283923443",1.3029831225958,103.836283923443
Liat Towers,shopping,"1.30508722710852,103.830722581168",1.30508722710852,103.830722581168
Lucky Plaza,shopping,"1.3044637897474,103.834005158524",1.3044637897474,103.834005158524
Marina Bay Sands,shopping,"1.28466203640592,103.861005919029",1.28466203640592,103.861005919029
The Shoppes at Marina Bay Sands,shopping,"1.28423496027027,103.85898228297",1.28423496027027,103.85898228297
Marina Bay Link Mall,shopping,"1.28003113385646,103.854284863268",1.28003113385646,103.854284863268
Marina Square,shopping,"1.29159480494333,103.857048715656",1.29159480494333,103.857048715656
