postal_code,Description_clean
733780,Attributes BLK_NO 780C  ST_COD WOC05L  ENTITYID 1991  POSTAL_COD 733780  INC_CRC B93627FDFF3D6313  FMEL_UPD_D 20230328181025 
650373,Attributes BLK_NO 373  ST_COD BUS09S  ENTITYID 6782  POSTAL_COD 650373  INC_CRC 49487496978A23EF  FMEL_UPD_D 20130426120311 
520328,Attributes BLK_NO 328  ST_COD TAS39U  ENTITYID 7578  POSTAL_COD 520328  INC_CRC 67E2089D8D4D20D0  FMEL_UPD_D 20130426120323 
681771,Attributes BLK_NO 771A  ST_COD CHS27B  ENTITYID 307  POSTAL_COD 681771  INC_CRC 577EE045DEA00FEE  FMEL_UPD_D 20130426120328 
091003,Attributes BLK_NO 3A  ST_COD TEC01D  ENTITYID 7332  POSTAL_COD 091003  INC_CRC AF8FF795FF2C87EA  FMEL_UPD_D 20130426120321 
733781,Attributes BLK_NO 781C  ST_COD WOA05F  ENTITYID 12799  POSTAL_COD 733781  INC_CRC 9257EC517D945A34  FMEL_UPD_D 20230328181025 
190465,Attributes BLK_NO 465  ST_COD CRL00Q  ENTITYID 6128  POSTAL_COD 190465  INC_CRC FA7E0AEE86FFEA6A  FMEL_UPD_D 20230328181025 
322002,Attributes BLK_NO 2  ST_COD STG00S  ENTITYID 7153  POSTAL_COD 322002  INC_CRC A0BBA1BEA0B7120C  FMEL_UPD_D 20230328181025 
730778,Attributes BLK_NO 778  ST_COD WOD14U  ENTITYID 9072  POSTAL_COD 730778  INC_CRC 9B399758F26B6046  FMEL_UPD_D 20130426120335 
730862,Attributes BLK_NO 862  ST_COD WOS07U  ENTITYID 12726  POSTAL_COD 730862  INC_CRC 3E0F54CD91F1FF15  FMEL_UPD_D 20130426120332 
760606,Attributes BLK_NO 606  ST_COD YIS04C  ENTITYID 1440  POSTAL_COD 760606  INC_CRC CC98809ACC1B5B14  FMEL_UPD_D 20131121171732 
823673,Attributes BLK_NO 673C  ST_COD EDP02K  ENTITYID 9852  POSTAL_COD 823673  INC_CRC A9FE3439296B23D3  FMEL_UPD_D 20150330193231 
792438,Attributes BLK_NO 438B  ST_COD SEA23T  ENTITYID 2396  POSTAL_COD 792438  INC_CRC E3103C14A513A745  FMEL_UPD_D 20130426120220 
530531,Attributes BLK_NO 531  ST_COD HOA09N  ENTITYID 9745  POSTAL_COD 530531  INC_CRC CEB84DA5F722438F  FMEL_UPD_D 20130426120342 
641734,Attributes BLK_NO 734A  ST_COD JUS17T  ENTITYID 8916  POSTAL_COD 641734  INC_CRC 78056B0F3E1DB272  FMEL_UPD_D 20130426120337 
570187,Attributes BLK_NO 187  ST_COD BIS06N  ENTITYID 12608  POSTAL_COD 570187  INC_CRC ABD6C2A87F5278CD  FMEL_UPD_D 20160930094741 
733685,Attributes BLK_NO 685C  ST_COD WOD24Y  ENTITYID 2116  POSTAL_COD 733685  INC_CRC EBA6CFB33BFBB64C  FMEL_UPD_D 20130426120316 
761469,Attributes BLK_NO 469A  ST_COD YIS16M  ENTITYID 11053357  POSTAL_COD 761469  INC_CRC 6BC043FAECD33020  FMEL_UPD_D 20221220142836 
642216,Attributes BLK_NO 216B  ST_COD BOA01Y  ENTITYID 11053129  POSTAL_COD 642216  INC_CRC F30C9FAACB8FDCC7  FMEL_UPD_D 20221220142836 
610349,Attributes BLK_NO 349  ST_COD COD04N  ENTITYID 4984  POSTAL_COD 610349  INC_CRC 1AB52032D53634D8  FMEL_UPD_D 20130426120253 
310235,Attributes BLK_NO 235  ST_COD TOP10F  ENTITYID 7061  POSTAL_COD 310235  INC_CRC B79C9457E9D80211  FMEL_UPD_D 20130426120317 
824109,Attributes BLK_NO 109D  ST_COD EDP01G  ENTITYID 8966  POSTAL_COD 824109  INC_CRC 874FAD927BF8FFBA  FMEL_UPD_D 20130426120337 
600281,Attributes BLK_NO 281  ST_COD TOG02Q  ENTITYID 6962  POSTAL_COD 600281  INC_CRC 1B50E3B3187E1CCB  FMEL_UPD_D 20130426120313 
640817,Attributes BLK_NO 817  ST_COD JUS16M  ENTITYID 9116  POSTAL_COD 640817  INC_CRC 14F992F166FA2A95  FMEL_UPD_D 20130426120340 
