name,amenity_type,LatLng,lat,lon
ADMIRALTY PRIMARY SCHOOL,education,"1.4426347903311,103.800040119743",1.4426347903311,103.800040119743
ADMIRALTY SECONDARY SCHOOL,education,"1.44589068910993,103.802398196596",1.44589068910993,103.802398196596
AHMAD IBRAHIM PRIMARY SCHOOL,education,"1.43315271543517,103.832942401086",1.43315271543517,103.832942401086
AHMAD IBRAHIM SECONDARY SCHOOL,education,"1.43605975368804,103.829718690077",1.43605975368804,103.829718690077
AI TONG SCHOOL,education,"1.3605834338904,103.833020333986",1.3605834338904,103.833020333986
ALEXANDRA PRIMARY SCHOOL,education,"1.29133439161334,103.824424680531",1.29133439161334,103.824424680531
ANCHOR GREEN PRIMARY SCHOOL,education,"1.39036998654612,103.887165375933",1.39036998654612,103.887165375933
ANDERSON PRIMARY SCHOOL,education,"1.38419941907925,103.841411716006",1.38419941907925,103.841411716006
ANDERSON SECONDARY SCHOOL,education,"1.37434001701177,103.851554107068",1.37434001701177,103.851554107068
ANDERSON SERANGOON JUNIOR COLLEGE,education,"1.37839670972543,103.845885968342",1.37839670972543,103.845885968342
ANG MO KIO PRIMARY SCHOOL,education,"1.36932176584608,103.839630858752",1.36932176584608,103.839630858752
ANG MO KIO SECONDARY SCHOOL,education,"1.36733710171069,103.842154973672",1.36733710171069,103.842154973672
ANGLICAN HIGH SCHOOL,education,"1.33058126205128,103.941082513081",1.33058126205128,103.941082513081
ANGLO-CHINESE JUNIOR COLLEGE,education,"1.30304255193392,103.785358436408",1.30304255193392,103.785358436408
ANGLO-CHINESE SCHOOL (BARKER ROAD),education,"1.31961649151328,103.835772689988",1.31961649151328,103.835772689988
ANGLO-CHINESE SCHOOL (INDEPENDENT),education,"1.30370409257783,103.780363417671",1.30370409257783,103.780363417671
ANGLO-CHINESE SCHOOL (JUNIOR),education,"1.30935041274966,103.840950265464",1.30935041274966,103.840950265464
ANGLO-CHINESE SCHOOL (PRIMARY),education,"1.31837054523521,103.835609732354",1.31837054523521,103.835609732354
ANGSANA PRIMARY SCHOOL,education,"1.34855287558648,103.951808105552",1.34855287558648,103.951808105552
ASSUMPTION ENGLISH SCHOOL,education,"1.36838160662857,103.766687526556",1.36838160662857,103.766687526556
ASSUMPTION PATHWAY SCHOOL,education,"1.3696707043227,103.765959130581",1.3696707043227,103.765959130581
BARTLEY SECONDARY SCHOOL,education,"1.33995415587811,103.882806211705",1.33995415587811,103.882806211705
BEACON PRIMARY SCHOOL,education,"1.38394936211823,103.773632022975",1.38394936211823,103.773632022975
BEATTY SECONDARY SCHOOL,education,"1.341790284928,103.852280842345",1.341790284928,103.852280842345
BEDOK GREEN PRIMARY SCHOOL,education,"1.32344593287992,103.937878976352",1.32344593287992,103.937878976352
BEDOK GREEN SECONDARY SCHOOL,education,"1.33451947288431,103.935028383346",1.33451947288431,103.935028383346
BEDOK SOUTH SECONDARY SCHOOL,education,"1.32513655159184,103.950989139261",1.32513655159184,103.950989139261
BEDOK VIEW SECONDARY SCHOOL,education,"1.32415704029686,103.943776245024",1.32415704029686,103.943776245024
BENDEMEER PRIMARY SCHOOL,education,"1.32181250780475,103.865404167629",1.32181250780475,103.865404167629
BENDEMEER SECONDARY SCHOOL,education,"1.32425869967174,103.860634248131",1.32425869967174,103.860634248131
BLANGAH RISE PRIMARY SCHOOL,education,"1.27612047924037,103.808628535239",1.27612047924037,103.808628535239
BOON LAY GARDEN PRIMARY SCHOOL,education,"1.34284013791617,103.712858381937",1.34284013791617,103.712858381937
BOON LAY SECONDARY SCHOOL,education,"1.34272216334333,103.701891453912",1.34272216334333,103.701891453912
BOWEN SECONDARY SCHOOL,education,"1.37035994436209,103.877659577677",1.37035994436209,103.877659577677
BROADRICK SECONDARY SCHOOL,education,"1.30705061123433,103.886917922608",1.30705061123433,103.886917922608
