Unnamed: 0,lat,lon,nearest_mrt_distance,nearest_bus_distance,address,postal_code,nearest_mrt_name,nearest_bus_name,education_score,shopping_score,food_score,healthcare_score,recreation_score
0,1.270379512,103.823236,580.8849091,100.6532176,43 TELOK BLANGAH RISE,90043,HARBOURFRONT MRT STATION,BLK 41,9.886120916,31.71846207,14.30251776,55.97406565,29.62669561
1,1.270918709,103.8226854,621.123943,62.40568267,42 TELOK BLANGAH RISE,90042,HARBOURFRONT MRT STATION,BLK 41,10.74580515,31.88083616,15.93868365,57.7537727,30.19180302
2,1.271408833,103.8108875,146.0938296,106.9934042,44 TELOK BLANGAH DR,100044,TELOK BLANGAH MRT STATION,TELOK BLANGAH STN,7.254423576,22.22515802,15.15281886,40.4676504,27.39437319
3,1.271462566,103.8256835,815.9893883,105.6933726,101 BT PURMEI RD,90101,HARBOURFRONT MRT STATION,THE PEARL /@ MT FABER,11.58534434,34.39814364,13.89371352,57.10591345,30.42991997
4,1.271690611,103.8098523,104.8691764,69.17332648,46 TELOK BLANGAH DR,100046,TELOK BLANGAH MRT STATION,OPP TELOK BLANGAH STN,7.350236582,23.76902916,17.76151216,40.01883904,28.21334138
5,1.271747245,103.8225083,707.682378,85.56903286,39 TELOK BLANGAH RISE,90039,HARBOURFRONT MRT STATION,BLK 41,11.89086178,32.79230212,20.60435572,58.17886469,31.52267004
6,1.271757071,103.8095604,113.568602,65.93824304,45 TELOK BLANGAH DR,100045,TELOK BLANGAH MRT STATION,OPP TELOK BLANGAH STN,7.367605734,24.2868359,18.80447302,39.95183562,28.45384071
7,1.271908423,103.8266717,921.9426367,57.60194701,102 BT PURMEI RD,90102,HARBOURFRONT MRT STATION,OPP KEPPEL DP BLK 519,12.31862709,35.36518282,13.94323315,59.07865882,30.93614492
8,1.272044271,103.810097,148.691022,73.003027,47 TELOK BLANGAH DR,100047,TELOK BLANGAH MRT STATION,AFT BLK 48,7.586586293,24.50578205,18.00556018,40.8197917,27.78108717
9,1.272085585,103.8254956,862.3594775,116.9873696,103 BT PURMEI RD,90103,HARBOURFRONT MRT STATION,THE PEARL /@ MT FABER,12.65433649,36.08333258,14.48927606,58.51906048,31.44287765
10,1.272099266,103.8232451,763.5934395,71.05643299,40 TELOK BLANGAH RISE,90040,HARBOURFRONT MRT STATION,BLK 40,12.87552608,33.8128269,19.12078361,58.92281915,32.13429504
11,1.272201815,103.8110608,217.3107524,108.6440666,49 TELOK BLANGAH DR,100049,TELOK BLANGAH MRT STATION,BLK 50,7.689124085,24.31815181,15.94139297,41.54659144,27.84582231
12,1.272332606,103.8222103,767.5470141,63.02441061,38 TELOK BLANGAH RISE,90038,HARBOURFRONT MRT STATION,BLK 36 MKT/FC,12.78999628,33.45330149,32.40056892,58.78886553,32.00316694
13,1.272346698,103.8105545,198.547408,64.10582483,48 TELOK BLANGAH DR,100048,TELOK BLANGAH MRT STATION,BLK 50,7.788205511,25.06791774,17.28309582,41.50339198,28.23570821
14,1.272397327,103.8208327,772.9739913,92.20995645,31 TELOK BLANGAH RISE,90031,HARBOURFRONT MRT STATION,BLK 36 MKT/FC,12.0177264,30.59243132,19.11207571,56.27973369,32.08321733
15,1.272398536,103.8256255,899.5950431,152.2937896,104 BT PURMEI RD,90104,HARBOURFRONT MRT STATION,THE PEARL /@ MT FABER,13.1945537,37.93921456,14.5912146,59.90699605,31.88745006
16,1.272483013,103.824703,859.6401249,50.36812856,105 BT PURMEI RD,90105,HARBOURFRONT MRT STATION,BLK 105,13.79562894,37.44647468,15.65234428,57.76744982,32.6816913
17,1.272672565,103.8228757,816.282453,102.6378173,37 TELOK BLANGAH RISE,90037,HARBOURFRONT MRT STATION,BLK 40,14.10207881,34.4875912,24.37462544,59.73211239,33.25717744
18,1.272985283,103.820252,845.7962731,71.03257088,30 TELOK BLANGAH RISE,90030,HARBOURFRONT MRT STATION,BLK 28,12.16636567,30.75288943,17.64139331,55.75969389,32.05455324
19,1.27298937,103.8256268,956.5106791,128.1335316,106 BT PURMEI RD,90106,HARBOURFRONT MRT STATION,BLK 109,14.7955737,41.7910992,14.94740335,61.45592682,33.33668574
20,1.273022019,103.8221232,842.85077,100.5952746,35 TELOK BLANGAH RISE,90035,HARBOURFRONT MRT STATION,BLK 36 MKT/FC,14.67250397,34.05735645,32.88897616,59.31693236,34.04752841
21,1.27309041,103.8101436,263.5675388,33.39843866,50 TELOK BLANGAH DR,100050,TELOK BLANGAH MRT STATION,BLK 50,8.393353785,28.45086999,19.88748837,43.01001294,29.26673834
