name,amenity_type,LatLng,lat,lon
Sembawang Public Library,recreation,"1.44819664827432,103.819498553738",1.44819664827432,103.819498553738
Sengkang Public Library,recreation,"1.39164107310365,103.894771922697",1.39164107310365,103.894771922697
Serangoon Public Library,recreation,"1.35072709374027,103.872256917786",1.35072709374027,103.872256917786
Bukit Panjang Public Library,recreation,"1.37993637366735,103.764350064878",1.37993637366735,103.764350064878
Punggol Regional Library,recreation,"1.4093200762839,103.905335818273",1.4093200762839,103.905335818273
library@harbourfront,recreation,"1.26392174964736,103.82163145796",1.26392174964736,103.82163145796
National Archives of Singapore,recreation,"1.29332950881488,103.848436882843",1.29332950881488,103.848436882843
Central Arts Library,recreation,"1.29762079440739,103.854408066444",1.29762079440739,103.854408066444
Toa Payoh Public Library,recreation,"1.33362463556477,103.85096929438",1.33362463556477,103.85096929438
Woodlands Regional Library,recreation,"1.43503700134939,103.786927526354",1.43503700134939,103.786927526354
Yishun Public Library,recreation,"1.42971547356642,103.835803458095",1.42971547356642,103.835803458095
Choa Chu Kang Public Library,recreation,"1.38495919705382,103.745039269848",1.38495919705382,103.745039269848
Ang Mo Kio Public Library,recreation,"1.37479006912036,103.845580674824",1.37479006912036,103.845580674824
Bedok Public Library,recreation,"1.32698939805286,103.931691125839",1.32698939805286,103.931691125839
Bishan Public Library,recreation,"1.3498506667736,103.848840445413",1.3498506667736,103.848840445413
Bukit Batok Public Library,recreation,"1.34970832762173,103.749274500587",1.34970832762173,103.749274500587
National Library,recreation,"1.29720240914801,103.854287271717",1.29720240914801,103.854287271717
Pasir Ris Public Library,recreation,"1.37235750960519,103.949439880186",1.37235750960519,103.949439880186
Queenstown Public Library,recreation,"1.29871263170447,103.805520397172",1.29871263170447,103.805520397172
Central Public Library,recreation,"1.29742018061931,103.854234798536",1.29742018061931,103.854234798536
Cheng San Public Library,recreation,"1.3725726449182,103.893775348884",1.3725726449182,103.893775348884
Clementi Public Library,recreation,"1.31506201647581,103.764305614552",1.31506201647581,103.764305614552
Geylang East Public Library,recreation,"1.31744297942455,103.885837273218",1.31744297942455,103.885837273218
Jurong Regional Library,recreation,"1.33289451520808,103.739242870677",1.33289451520808,103.739242870677
Jurong West Public Library,recreation,"1.34063599253795,103.704512325533",1.34063599253795,103.704512325533
library@chinatown,recreation,"1.28526073700342,103.844942912669",1.28526073700342,103.844942912669
library@orchard,recreation,"1.30040819039694,103.839669047112",1.30040819039694,103.839669047112
Marine Parade Public Library,recreation,"1.30479881590908,103.909449777954",1.30479881590908,103.909449777954
Singapore Botanic Gardens' Library,recreation,"1.30844628214519,103.818190193768",1.30844628214519,103.818190193768
Tampines Regional Library,recreation,"1.35333197430091,103.940268994596",1.35333197430091,103.940268994596
Home Team Gallery,recreation,"1.37199999988044,103.722071000299",1.37199999988044,103.722071000299
IRAS Gallery,recreation,"1.31973617535171,103.842120525326",1.31973617535171,103.842120525326
Indian Heritage Centre,recreation,"1.30567376358469,103.852250362607",1.30567376358469,103.852250362607
Istana Heritage Gallery,recreation,"1.29946510663366,103.843390727531",1.29946510663366,103.843390727531
Land Transport Gallery,recreation,"1.30814390233743,103.849351369174",1.30814390233743,103.849351369174
Lee Kong Chian Natural History Museum,recreation,"1.30161799964392,103.773640000215",1.30161799964392,103.773640000215
Malay Heritage Centre,recreation,"1.30285771061427,103.85987591471",1.30285771061427,103.85987591471
Marina Barrage,recreation,"1.28087599264464,103.870820869792",1.28087599264464,103.870820869792
Ministry of Education Heritage Centre,recreation,"1.30357300014804,103.798230999789",1.30357300014804,103.798230999789
Mint Museum of Toys,recreation,"1.29629478565333,103.854646412148",1.29629478565333,103.854646412148
NEWater Visitor Centre,recreation,"1.324169452477,103.958693397917",1.324169452477,103.958693397917
NUS Baba House,recreation,"1.27706174444879,103.837362175454",1.27706174444879,103.837362175454
NUS Museum,recreation,"1.30143563171484,103.772467830059",1.30143563171484,103.772467830059
National Gallery Singapore,recreation,"1.28989697164605,103.851541988097",1.28989697164605,103.851541988097
National Healthcare Group Polyclinics' Gallery of Memories,recreation,"1.35203106458386,103.74764684501",1.35203106458386,103.74764684501
National Library Singapore,recreation,"1.29722592267748,103.854281790792",1.29722592267748,103.854281790792
National Museum of Singapore,recreation,"1.29672358952598,103.848504868789",1.29672358952598,103.848504868789
Ngee Ann Cultural Centre,recreation,"1.29529815511203,103.843449206248",1.29529815511203,103.843449206248
Peranakan Museum,recreation,"1.29425249918493,103.849147851428",1.29425249918493,103.849147851428
Police Heritage Centre,recreation,"1.32402565519916,103.84501954379",1.32402565519916,103.84501954379
Red Dot Design Museum,recreation,"1.28022800655307,103.856316031829",1.28022800655307,103.856316031829
Reflections at Bukit Chandu,recreation,"1.27954329665988,103.794241890607",1.27954329665988,103.794241890607
Republic of Singapore Airforce Museum,recreation,"1.34515552293767,103.899731855273",1.34515552293767,103.899731855273
Republic of Singapore Navy Museum,recreation,"1.31743499999456,104.016516000073",1.31743499999456,104.016516000073
Singapore Discovery Centre,recreation,"1.33272640807787,103.6789426775",1.33272640807787,103.6789426775
Science Centre Singapore,recreation,"1.33328436053137,103.736269714867",1.33328436053137,103.736269714867
Singapore Art Museum,recreation,"1.29724059894391,103.850948911553",1.29724059894391,103.850948911553
Singapore City Gallery,recreation,"1.27959285607286,103.845323045012",1.27959285607286,103.845323045012
Singapore Maritime Gallery,recreation,"1.27103899972427,103.863336999636",1.27103899972427,103.863336999636
Singapore Philatelic Museum,recreation,"1.29283255866067,103.848715823426",1.29283255866067,103.848715823426
Singapore Sports Museum,recreation,"1.30144200036259,103.873453000392",1.30144200036259,103.873453000392
Sun Yat Sen Nanyang Memorial Hall,recreation,"1.32810921164909,103.847217338702",1.32810921164909,103.847217338702
Tan Tock Seng Hospital Heritage Museum,recreation,"1.32168768725521,103.845940639249",1.32168768725521,103.845940639249
The Battle Box,recreation,"1.29550008741008,103.846163257411",1.29550008741008,103.846163257411
The Changi Museum,recreation,"1.36216665046189,103.974006793251",1.36216665046189,103.974006793251
The Grassroots Heritage Centre,recreation,"1.28291602383677,103.788143995983",1.28291602383677,103.788143995983
The Intan,recreation,"1.31448600026553,103.900967999697",1.31448600026553,103.900967999697
The Private Museum,recreation,"1.29808859920821,103.851454494149",1.29808859920821,103.851454494149
The SGH Museum,recreation,"1.28074432038722,103.835934763323",1.28074432038722,103.835934763323
Woodbridge Museum,recreation,"1.38306844679497,103.884992493203",1.38306844679497,103.884992493203
Army Museum of Singapore,recreation,"1.33190674082204,103.67681459535",1.33190674082204,103.67681459535
ArtScience Museum,recreation,"1.28627800020667,103.859233999576",1.28627800020667,103.859233999576
Asian Civilisations Museum,recreation,"1.28745998094124,103.851370888669",1.28745998094124,103.851370888669
BCA Gallery,recreation,"1.34440911498272,103.858550350197",1.34440911498272,103.858550350197
Chinatown Heritage Centre,recreation,"1.28357830609807,103.844377710425",1.28357830609807,103.844377710425
Chinese Heritage Centre,recreation,"1.34377901329634,103.683998529299",1.34377901329634,103.683998529299
Civil Defence Heritage Gallery,recreation,"1.29205335546359,103.849115130882",1.29205335546359,103.849115130882
Eurasian Heritage Centre,recreation,"1.31009900032616,103.899396999842",1.31009900032616,103.899396999842
Former Ford Factory,recreation,"1.35269172931273,103.768855250504",1.35269172931273,103.768855250504
Fort Siloso,recreation,"1.24834860338947,103.82795023941",1.24834860338947,103.82795023941
